x,y
0,20.15
1,21.47
2,22.79
3,24.11
4,25.43
5,26.75
6,28.07
7,29.39
8,30.71
9,32.03
10,33.35
11,34.67
12,35.99
13,37.31
14,38.63
15,39.95
16,41.27
17,42.59
18,43.91
19,45.23
20,46.55
21,47.87
22,49.19
23,50.51
24,51.83
25,53.15
26,54.47
27,55.79
28,57.11
29,58.43
30,59.75
31,61.07
32,62.39
33,63.71
34,65.03
35,66.35
36,67.67
37,68.99
38,70.31
39,71.63
40,72.95
41,74.27
42,75.59
43,76.91
44,78.23
45,79.55
46,80.87
47,82.19
48,83.51
49,84.83
50,86.15
51,87.47
52,88.79
53,90.11
54,91.43
55,92.75
56,94.07
57,95.39
58,96.71
59,98.03
60,99.35
61,100.67
62,101.99
63,103.31
64,104.63
65,105.95
66,107.27
67,108.59
68,109.91
69,111.23
70,112.55
71,113.87
72,115.19
73,116.51
74,117.83
75,119.15
76,120.47
77,121.79
78,123.11
79,124.43
80,125.75
81,127.07
82,128.39
83,129.71
84,131.03
85,132.35
86,133.67
87,134.99
88,136.31
89,137.63
90,138.95
91,140.27
92,141.59
93,142.91
94,144.23
95,145.55
96,146.87
97,148.19
98,149.51
99,150.83
